global_step,grad_norm,loss,train/loss,train/ppl,validation/loss,validation/ppl,validation/num_examples,test/loss,test/ppl,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
32400,0.27779576,3.2780733,,,,,,,,,,,,,,
32500,0.29180735,3.3867307,,,,,,,,,,,,,,
32600,0.32246014,3.2774477,,,,,,,,,,,,,,
32700,0.29556546,3.302597,,,,,,,,,,,,,,
32800,0.31377345,3.2043927,,,,,,,,,,,,,,
32900,0.296612,3.268867,,,,,,,,,,,,,,
33000,0.27290794,3.1835334,,,,,,,,,,,,,,
33100,0.29546803,3.2781994,,,,,,,,,,,,,,
33200,0.28325665,3.3181922,,,,,,,,,,,,,,
33300,0.28402078,3.2235026,,,,,,,,,,,,,,
33400,0.28321925,3.2397623,,,,,,,,,,,,,,
33500,0.28775948,3.2452092,,,,,,,,,,,,,,
33600,0.29563966,3.3096466,,,,,,,,,,,,,,
33700,0.28263822,3.3294404,,,,,,,,,,,,,,
33800,0.2913967,3.2944648,,,,,,,,,,,,,,
33900,0.2842175,3.2413545,,,,,,,,,,,,,,
33948,,,3.200860977172852,24.553661240969216,3.200201749801636,24.537480129517387,100000.0,0.0,1.0,0.0,7738.187179327011,9064.04209446907,7738.187179327011,1325.4967215061188,0.1302425861358642,0.0
34000,0.30642834,3.2135653,,,,,,,,,,,,,,
34100,0.2923801,3.3608952,,,,,,,,,,,,,,
34200,0.28225163,3.2723615,,,,,,,,,,,,,,
34300,0.31593907,3.155217,,,,,,,,,,,,,,
34400,0.28429654,3.2768216,,,,,,,,,,,,,,
34500,0.2733664,3.2829604,,,,,,,,,,,,,,
34600,0.27887297,3.2352343,,,,,,,,,,,,,,
34700,0.28838587,3.1742196,,,,,,,,,,,,,,
34800,0.29836616,3.3024125,,,,,,,,,,,,,,
34900,0.30430868,3.3464904,,,,,,,,,,,,,,
35000,0.29397634,3.3629286,,,,,,,,,,,,,,
35100,0.28616533,3.2418313,,,,,,,,,,,,,,
35200,0.2889914,3.235016,,,,,,,,,,,,,,
35300,0.27618864,3.2263238,,,,,,,,,,,,,,
35400,0.29016197,3.2547941,,,,,,,,,,,,,,
35500,0.29083315,3.2561183,,,,,,,,,,,,,,
35600,0.30745113,3.4493408,,,,,,,,,,,,,,
35700,0.2771523,3.1279116,,,,,,,,,,,,,,
35800,0.27411807,3.2621772,,,,,,,,,,,,,,
35900,0.30870134,3.1667376,,,,,,,,,,,,,,
36000,0.34166873,3.2489715,,,,,,,,,,,,,,
36100,0.2720836,3.188834,,,,,,,,,,,,,,
36200,0.2817469,3.214847,,,,,,,,,,,,,,
36300,0.26932618,3.206059,,,,,,,,,,,,,,
36400,0.27103686,3.270878,,,,,,,,,,,,,,
36500,0.28042787,3.34285,,,,,,,,,,,,,,
36600,0.490862,3.692196,,,,,,,,,,,,,,
36700,0.2761358,3.305674,,,,,,,,,,,,,,
36800,0.28175062,3.1247802,,,,,,,,,,,,,,
36900,0.27036285,3.3784015,,,,,,,,,,,,,,
37000,0.2813369,3.2842352,,,,,,,,,,,,,,
37100,0.27140588,3.3739305,,,,,,,,,,,,,,
37200,0.2812572,3.3424737,,,,,,,,,,,,,,
37300,0.28543466,3.1269522,,,,,,,,,,,,,,
37400,0.29114595,3.3049498,,,,,,,,,,,,,,
37500,0.2976556,3.212253,,,,,,,,,,,,,,
37600,0.3049878,3.3176541,,,,,,,,,,,,,,
37700,0.30680642,3.2855437,,,,,,,,,,,,,,
37800,0.2907844,3.2210865,,,,,,,,,,,,,,
37900,0.32385594,3.412159,,,,,,,,,,,,,,
38000,0.29760823,3.2576766,,,,,,,,,,,,,,
38100,0.34271777,3.3434174,,,,,,,,,,,,,,
38200,0.3050019,3.2682421,,,,,,,,,,,,,,
38300,0.30756158,3.4076755,,,,,,,,,,,,,,
38400,0.2891995,3.2274551,,,,,,,,,,,,,,
38500,0.28690794,3.285433,,,,,,,,,,,,,,
38600,0.2912096,3.2885456,,,,,,,,,,,,,,
38700,0.2979125,3.2643366,,,,,,,,,,,,,,
38800,0.3257484,3.2684689,,,,,,,,,,,,,,
38900,0.31467605,3.2213788,,,,,,,,,,,,,,
39000,0.3086736,3.1859446,,,,,,,,,,,,,,
39100,0.31085655,3.290594,,,,,,,,,,,,,,
39200,0.29528677,3.3397992,,,,,,,,,,,,,,
39300,0.32667515,3.3065658,,,,,,,,,,,,,,
39400,0.3139203,3.2766602,,,,,,,,,,,,,,
39500,0.3226761,3.2825437,,,,,,,,,,,,,,
39600,0.29416814,3.3120854,,,,,,,,,,,,,,
39700,0.3084057,3.2868853,,,,,,,,,,,,,,
39800,0.2962346,3.3683367,,,,,,,,,,,,,,
39900,0.283707,3.2933025,,,,,,,,,,,,,,
40000,0.3119082,3.3185933,,,,,,,,,,,,,,
40100,0.30189684,3.2853534,,,,,,,,,,,,,,
40200,0.28196445,3.1690767,,,,,,,,,,,,,,
40300,0.30095503,3.248893,,,,,,,,,,,,,,
40400,0.287896,3.2533994,,,,,,,,,,,,,,
40500,0.3281189,3.2974415,,,,,,,,,,,,,,
40600,0.33270472,3.19008,,,,,,,,,,,,,,
40700,0.2794644,3.1799693,,,,,,,,,,,,,,
40800,0.2943193,3.2214093,,,,,,,,,,,,,,
40900,0.35275376,3.2684488,,,,,,,,,,,,,,
41000,0.30591452,3.217463,,,,,,,,,,,,,,
41100,0.294384,3.3657472,,,,,,,,,,,,,,
41200,0.29346707,3.2644858,,,,,,,,,,,,,,
41300,0.28056246,3.243674,,,,,,,,,,,,,,
41400,0.29693258,3.1701226,,,,,,,,,,,,,,
41500,0.31535405,3.231341,,,,,,,,,,,,,,
41600,0.29522437,3.3280082,,,,,,,,,,,,,,
41700,0.2992691,3.3859587,,,,,,,,,,,,,,
41800,0.30291817,3.276763,,,,,,,,,,,,,,
41900,0.3120908,3.3154945,,,,,,,,,,,,,,
42000,0.29427707,3.2484155,,,,,,,,,,,,,,
42100,0.31187558,3.1144533,,,,,,,,,,,,,,
42200,0.3414098,3.3460126,,,,,,,,,,,,,,
42300,0.2985377,3.242104,,,,,,,,,,,,,,
42400,0.29214975,3.177145,,,,,,,,,,,,,,
42500,0.30193147,3.1763768,,,,,,,,,,,,,,
42600,0.28147435,3.2556782,,,,,,,,,,,,,,
42700,0.32484835,3.1984036,,,,,,,,,,,,,,
42800,0.30106956,3.1838317,,,,,,,,,,,,,,
42900,0.31280595,3.2273154,,,,,,,,,,,,,,
43000,0.34244305,3.143742,,,,,,,,,,,,,,
43100,0.31406483,3.3077245,,,,,,,,,,,,,,
43200,0.28993517,3.234877,,,,,,,,,,,,,,
43300,0.30039245,3.296194,,,,,,,,,,,,,,
43400,0.30625248,3.3765867,,,,,,,,,,,,,,
43500,0.29655096,3.184586,,,,,,,,,,,,,,
43600,0.30264202,3.2116456,,,,,,,,,,,,,,
43700,0.28742206,3.2324886,,,,,,,,,,,,,,
43800,0.2858531,3.2761748,,,,,,,,,,,,,,
43900,0.30178383,3.2027082,,,,,,,,,,,,,,
44000,0.3049315,3.3116622,,,,,,,,,,,,,,
44100,0.2933243,3.2389512,,,,,,,,,,,,,,
44200,0.3160373,3.3234367,,,,,,,,,,,,,,
44300,0.29308623,3.3137994,,,,,,,,,,,,,,
44400,0.33603188,3.2146697,,,,,,,,,,,,,,
44500,0.30274665,3.2675016,,,,,,,,,,,,,,
44600,0.29410747,3.3309393,,,,,,,,,,,,,,
44700,0.32424128,3.1743364,,,,,,,,,,,,,,
44800,0.29131383,3.252023,,,,,,,,,,,,,,
44900,0.2944409,3.3066463,,,,,,,,,,,,,,
45000,0.29356688,3.2300813,,,,,,,,,,,,,,
45100,0.30035543,3.287444,,,,,,,,,,,,,,
45200,0.2855362,3.2580686,,,,,,,,,,,,,,
