global_step,grad_norm,loss,train/loss,train/ppl,validation/loss,validation/ppl,validation/num_examples,test/loss,test/ppl,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
26300,0.26822996,3.230155,,,,,,,,,,,,,,
26400,0.28933933,3.3172364,,,,,,,,,,,,,,
26500,0.3020177,3.2145305,,,,,,,,,,,,,,
26600,0.28397986,3.181929,,,,,,,,,,,,,,
26700,0.296326,3.1827977,,,,,,,,,,,,,,
26800,0.31272852,3.2072563,,,,,,,,,,,,,,
26900,0.28790691,3.2066178,,,,,,,,,,,,,,
27000,0.28564876,3.2208781,,,,,,,,,,,,,,
27100,0.33189076,3.209486,,,,,,,,,,,,,,
27200,0.28529885,3.400289,,,,,,,,,,,,,,
27300,0.312132,3.416137,,,,,,,,,,,,,,
27400,0.27663317,3.269638,,,,,,,,,,,,,,
27500,0.3030372,3.3419826,,,,,,,,,,,,,,
27600,0.2819128,3.1972952,,,,,,,,,,,,,,
27700,0.30957618,3.2492619,,,,,,,,,,,,,,
27800,0.27816537,3.2490005,,,,,,,,,,,,,,
27900,0.3074186,3.1677818,,,,,,,,,,,,,,
28000,0.30655423,3.3154054,,,,,,,,,,,,,,
28100,0.3098751,3.2119253,,,,,,,,,,,,,,
28200,0.29315823,3.3137016,,,,,,,,,,,,,,
28300,0.30219525,3.383683,,,,,,,,,,,,,,
28400,0.28435388,3.2812304,,,,,,,,,,,,,,
28500,0.32269365,3.3236558,,,,,,,,,,,,,,
28600,0.27087697,3.3513298,,,,,,,,,,,,,,
28700,0.26536232,3.2404022,,,,,,,,,,,,,,
28800,0.29917172,3.323626,,,,,,,,,,,,,,
28900,0.30956075,3.3931532,,,,,,,,,,,,,,
29000,0.28091124,3.2290893,,,,,,,,,,,,,,
29100,0.29779425,3.356069,,,,,,,,,,,,,,
29200,0.32343295,3.3336945,,,,,,,,,,,,,,
29300,0.33572415,3.288628,,,,,,,,,,,,,,
29400,0.2896729,3.3263192,,,,,,,,,,,,,,
29500,0.28122446,3.272059,,,,,,,,,,,,,,
29600,0.27721143,3.2268727,,,,,,,,,,,,,,
29700,0.29035872,3.2458024,,,,,,,,,,,,,,
29800,0.2807977,3.2148085,,,,,,,,,,,,,,
29900,0.2753359,3.3148272,,,,,,,,,,,,,,
30000,0.2973915,3.37351,,,,,,,,,,,,,,
30100,0.28407028,3.242982,,,,,,,,,,,,,,
30200,0.27816263,3.20459,,,,,,,,,,,,,,
30300,0.29392767,3.2976353,,,,,,,,,,,,,,
30400,0.2924016,3.3305855,,,,,,,,,,,,,,
30500,0.30290112,3.1777983,,,,,,,,,,,,,,
30600,0.2941007,3.2660265,,,,,,,,,,,,,,
30700,0.27095672,3.1233778,,,,,,,,,,,,,,
30800,0.2954561,3.2997591,,,,,,,,,,,,,,
30900,0.2920489,3.2918508,,,,,,,,,,,,,,
31000,0.31935295,3.1883578,,,,,,,,,,,,,,
31100,0.2951552,3.278378,,,,,,,,,,,,,,
31200,0.280673,3.1368175,,,,,,,,,,,,,,
31300,0.3261684,3.3196328,,,,,,,,,,,,,,
31400,0.31338906,3.2964816,,,,,,,,,,,,,,
31500,0.28955337,3.1471837,,,,,,,,,,,,,,
31600,0.29792696,3.308177,,,,,,,,,,,,,,
31700,0.3011241,3.238608,,,,,,,,,,,,,,
31800,0.29672793,3.3102903,,,,,,,,,,,,,,
31900,0.28442279,3.2499404,,,,,,,,,,,,,,
32000,0.27793577,3.2196057,,,,,,,,,,,,,,
32100,0.29774353,3.2336464,,,,,,,,,,,,,,
32200,0.28903458,3.2002997,,,,,,,,,,,,,,
32300,0.33411142,3.1436734,,,,,,,,,,,,,,
32400,0.29950428,3.192606,,,,,,,,,,,,,,
32500,0.2723788,3.1758308,,,,,,,,,,,,,,
32600,0.33301052,3.2190776,,,,,,,,,,,,,,
32700,0.29306018,3.2076154,,,,,,,,,,,,,,
32800,0.28763604,3.2450683,,,,,,,,,,,,,,
32900,0.30530274,3.074923,,,,,,,,,,,,,,
33000,0.2815629,3.1568892,,,,,,,,,,,,,,
33100,0.3007914,3.3038151,,,,,,,,,,,,,,
33200,0.30104616,3.263302,,,,,,,,,,,,,,
33300,0.2997165,3.2134387,,,,,,,,,,,,,,
33400,0.2813374,3.2525153,,,,,,,,,,,,,,
33500,0.29202583,3.3159218,,,,,,,,,,,,,,
33600,0.27939388,3.1254606,,,,,,,,,,,,,,
33700,0.2932183,3.241912,,,,,,,,,,,,,,
33800,0.28552535,3.1420243,,,,,,,,,,,,,,
33900,0.2810162,3.22679,,,,,,,,,,,,,,
34000,0.32436153,3.223342,,,,,,,,,,,,,,
34100,0.31316468,3.2156122,,,,,,,,,,,,,,
34200,0.31885076,3.1329064,,,,,,,,,,,,,,
34300,0.3157113,3.182038,,,,,,,,,,,,,,
34332,,,3.1623122692108154,23.625160552053128,3.161433458328247,23.604407624142645,100000.0,0.0,1.0,0.0,7733.283766508102,9051.135574102402,7733.283766508102,1317.4975504875183,0.1387407779693603,0.0
34400,0.28580093,3.1874983,,,,,,,,,,,,,,
34500,0.28107888,3.2590325,,,,,,,,,,,,,,
34600,0.27395335,3.2295783,,,,,,,,,,,,,,
34700,0.27795494,3.2722282,,,,,,,,,,,,,,
34800,0.31821305,3.3321085,,,,,,,,,,,,,,
34900,0.32432923,3.3895626,,,,,,,,,,,,,,
35000,0.2745476,3.2573295,,,,,,,,,,,,,,
35100,0.27127638,3.1889057,,,,,,,,,,,,,,
35200,0.2760019,3.2160804,,,,,,,,,,,,,,
35300,0.2818617,3.2569926,,,,,,,,,,,,,,
35400,0.29404175,3.2583244,,,,,,,,,,,,,,
35500,0.28006548,3.2352362,,,,,,,,,,,,,,
35600,0.2750453,3.099545,,,,,,,,,,,,,,
35700,0.3154265,3.2701597,,,,,,,,,,,,,,
35800,0.3038437,3.225981,,,,,,,,,,,,,,
35900,0.30696213,3.27747,,,,,,,,,,,,,,
36000,0.31483576,3.3647165,,,,,,,,,,,,,,
36100,0.30583015,3.2383773,,,,,,,,,,,,,,
36200,0.30530393,3.2883859,,,,,,,,,,,,,,
36300,0.3251806,3.281785,,,,,,,,,,,,,,
36400,0.31147715,3.3479638,,,,,,,,,,,,,,
36500,0.29044646,3.1727147,,,,,,,,,,,,,,
36600,0.52312446,3.5656466,,,,,,,,,,,,,,
36700,0.3060748,3.3575692,,,,,,,,,,,,,,
36800,0.28803876,3.2806997,,,,,,,,,,,,,,
36900,0.28441027,3.2490876,,,,,,,,,,,,,,
37000,0.2991179,3.18696,,,,,,,,,,,,,,
37100,0.2884248,3.249492,,,,,,,,,,,,,,
37200,0.31682774,3.2888913,,,,,,,,,,,,,,
37300,0.2940716,3.320994,,,,,,,,,,,,,,
37400,0.29135013,3.0631099,,,,,,,,,,,,,,
37500,0.29261157,3.2393532,,,,,,,,,,,,,,
37600,0.3096763,3.136332,,,,,,,,,,,,,,
37700,0.41251224,3.3363461,,,,,,,,,,,,,,
37800,0.3366056,3.2706306,,,,,,,,,,,,,,
37900,0.2968876,3.1562557,,,,,,,,,,,,,,
38000,0.30689162,3.2499464,,,,,,,,,,,,,,
38100,0.29896826,3.166975,,,,,,,,,,,,,,
38200,0.29902852,3.1510355,,,,,,,,,,,,,,
38300,0.31452018,3.284873,,,,,,,,,,,,,,
38400,0.30035695,3.1691155,,,,,,,,,,,,,,
38500,0.31348452,3.3174982,,,,,,,,,,,,,,
38600,0.29398516,3.146299,,,,,,,,,,,,,,
38700,0.30677888,3.2623384,,,,,,,,,,,,,,
38800,0.3220609,3.1704278,,,,,,,,,,,,,,
38900,0.3115796,3.1488874,,,,,,,,,,,,,,
39000,0.3183666,3.2777398,,,,,,,,,,,,,,
39100,0.29926547,3.203689,,,,,,,,,,,,,,
39200,0.30768123,3.2648067,,,,,,,,,,,,,,
39300,0.4616413,3.38757,,,,,,,,,,,,,,
39400,0.2952331,3.293427,,,,,,,,,,,,,,
39500,0.33625275,3.2813897,,,,,,,,,,,,,,
39600,0.29427376,3.2535372,,,,,,,,,,,,,,
39700,0.30050242,3.2264342,,,,,,,,,,,,,,
39800,0.29832456,3.160081,,,,,,,,,,,,,,
39900,0.30041,3.1352675,,,,,,,,,,,,,,
40000,0.28972995,3.219322,,,,,,,,,,,,,,
40100,0.31172588,3.3213463,,,,,,,,,,,,,,
40200,0.39235502,3.0885384,,,,,,,,,,,,,,
40300,0.32182857,3.1351328,,,,,,,,,,,,,,
40400,0.3060218,3.1817653,,,,,,,,,,,,,,
40500,0.3046088,3.3177512,,,,,,,,,,,,,,
40600,0.32230878,3.3174615,,,,,,,,,,,,,,
40700,0.30384058,3.2218924,,,,,,,,,,,,,,
40800,0.29694334,3.1931381,,,,,,,,,,,,,,
40900,0.30133674,3.206616,,,,,,,,,,,,,,
41000,0.30692592,3.2360635,,,,,,,,,,,,,,
41100,0.2988492,3.1656866,,,,,,,,,,,,,,
41200,0.28072667,3.163757,,,,,,,,,,,,,,
41300,1.3282751,4.0919714,,,,,,,,,,,,,,
41400,0.28997266,3.2418554,,,,,,,,,,,,,,
41500,0.29572076,3.1754248,,,,,,,,,,,,,,
41600,0.28827444,3.2146358,,,,,,,,,,,,,,
41700,0.2970164,3.2209806,,,,,,,,,,,,,,
41800,0.29352155,3.243479,,,,,,,,,,,,,,
41900,0.2842411,3.2083337,,,,,,,,,,,,,,
42000,0.30489913,3.1995795,,,,,,,,,,,,,,
42100,0.31676275,3.2016625,,,,,,,,,,,,,,
42200,0.2917326,3.3455462,,,,,,,,,,,,,,
42300,0.28544173,3.2204196,,,,,,,,,,,,,,
42400,0.3177232,3.187416,,,,,,,,,,,,,,
42500,0.32743707,3.158287,,,,,,,,,,,,,,
42600,0.28781855,3.2581978,,,,,,,,,,,,,,
42700,0.31111857,3.1826425,,,,,,,,,,,,,,
42800,0.3129435,3.3474395,,,,,,,,,,,,,,
42900,0.3060133,3.1378996,,,,,,,,,,,,,,
43000,0.29150787,3.0578377,,,,,,,,,,,,,,
43100,0.32544744,3.2495053,,,,,,,,,,,,,,
43200,0.30864334,3.132873,,,,,,,,,,,,,,
43300,0.29384723,3.2953613,,,,,,,,,,,,,,
43400,0.30941114,3.1838293,,,,,,,,,,,,,,
43500,0.2805098,3.1551776,,,,,,,,,,,,,,
43600,0.30236012,3.3539915,,,,,,,,,,,,,,
43700,0.2826949,3.2334697,,,,,,,,,,,,,,
43800,0.32205275,3.1176753,,,,,,,,,,,,,,
43900,0.3328775,3.2710552,,,,,,,,,,,,,,
44000,0.31937802,3.3383536,,,,,,,,,,,,,,
44100,0.30532536,3.2267087,,,,,,,,,,,,,,
44200,0.31119755,3.385111,,,,,,,,,,,,,,
44300,0.32090992,3.2101007,,,,,,,,,,,,,,
44400,0.2964194,3.1511483,,,,,,,,,,,,,,
44500,0.31368238,3.4228714,,,,,,,,,,,,,,
44600,0.32526863,3.2387269,,,,,,,,,,,,,,
44700,0.30507877,3.2541785,,,,,,,,,,,,,,
44800,0.28076735,3.1605089,,,,,,,,,,,,,,
44900,0.29846242,3.1453495,,,,,,,,,,,,,,
45000,0.2972189,3.383791,,,,,,,,,,,,,,
45100,0.30568022,3.14569,,,,,,,,,,,,,,
45200,0.30161142,3.2121398,,,,,,,,,,,,,,
45300,0.30357465,3.1718285,,,,,,,,,,,,,,
45400,0.2990364,3.216412,,,,,,,,,,,,,,
