global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
24100,0.2082014,1.7763022,,,,,,,,,,,,,,,,,
24200,0.19821538,1.7021693,,,,,,,,,,,,,,,,,
24300,0.19633327,1.705931,,,,,,,,,,,,,,,,,
24400,0.17729071,1.7013823,,,,,,,,,,,,,,,,,
24500,0.18499637,1.7134244,,,,,,,,,,,,,,,,,
24600,0.22555976,1.7450348,,,,,,,,,,,,,,,,,
24700,0.21964052,1.630853,,,,,,,,,,,,,,,,,
24800,0.19934067,1.726368,,,,,,,,,,,,,,,,,
24900,0.18187127,1.5941882,,,,,,,,,,,,,,,,,
25000,0.2724969,1.6649456,,,,,,,,,,,,,,,,,
25100,0.19341418,1.7110649,,,,,,,,,,,,,,,,,
25200,0.1975013,1.7195594,,,,,,,,,,,,,,,,,
25300,0.19789287,1.7551494,,,,,,,,,,,,,,,,,
25400,0.17816384,1.6584222,,,,,,,,,,,,,,,,,
25500,0.20330207,1.6251885,,,,,,,,,,,,,,,,,
25600,0.20048892,1.7064232,,,,,,,,,,,,,,,,,
25700,0.21765526,1.5905248,,,,,,,,,,,,,,,,,
25800,0.18330783,1.6314223,,,,,,,,,,,,,,,,,
25900,0.19672401,1.6903977,,,,,,,,,,,,,,,,,
26000,0.191903,1.6421876,,,,,,,,,,,,,,,,,
26100,0.254114,1.7216249,,,,,,,,,,,,,,,,,
26200,0.28021705,1.7081497,,,,,,,,,,,,,,,,,
26300,0.19342144,1.6696054,,,,,,,,,,,,,,,,,
26400,0.23928712,1.6813587,,,,,,,,,,,,,,,,,
26500,0.1975368,1.6961371,,,,,,,,,,,,,,,,,
26600,0.18180884,1.6124659,,,,,,,,,,,,,,,,,
26700,0.20349751,1.6637863,,,,,,,,,,,,,,,,,
26800,0.21530563,1.7421968,,,,,,,,,,,,,,,,,
26900,0.19720004,1.6466401,,,,,,,,,,,,,,,,,
27000,0.20229723,1.737309,,,,,,,,,,,,,,,,,
27100,0.21946563,1.6232628,,,,,,,,,,,,,,,,,
27200,0.1929953,1.6305695,,,,,,,,,,,,,,,,,
27300,0.24453467,1.7184012,,,,,,,,,,,,,,,,,
27400,0.2091807,1.6422616,,,,,,,,,,,,,,,,,
27500,0.19655263,1.6217452,,,,,,,,,,,,,,,,,
27600,0.18591286,1.6446944,,,,,,,,,,,,,,,,,
27700,0.20399296,1.6748438,,,,,,,,,,,,,,,,,
27800,0.19348232,1.6529514,,,,,,,,,,,,,,,,,
27900,0.20144954,1.6023499,,,,,,,,,,,,,,,,,
28000,0.21347909,1.7428606,,,,,,,,,,,,,,,,,
28100,0.20797911,1.6438324,,,,,,,,,,,,,,,,,
28200,0.24537829,1.6595105,,,,,,,,,,,,,,,,,
28300,0.21301182,1.6407688,,,,,,,,,,,,,,,,,
28400,0.22595234,1.6256738,,,,,,,,,,,,,,,,,
28500,0.24129438,1.6740364,,,,,,,,,,,,,,,,,
28600,0.19571252,1.7191014,,,,,,,,,,,,,,,,,
28700,0.21230194,1.6246232,,,,,,,,,,,,,,,,,
28800,0.20072146,1.7113255,,,,,,,,,,,,,,,,,
28859,,,0.6675249338150024,1.5571190118789673,33.24359262506556,0.6763834357261658,1.498917579650879,29.555008834581056,3000.0,0.6913717985153198,1.403490424156189,29.13120769035714,3003.0,3922.386153697968,8271.712442159653,3922.386153697968,4348.800100564957,0.3013811111450195,0.0
28900,0.21010783,1.705287,,,,,,,,,,,,,,,,,
29000,0.20801748,1.7853166,,,,,,,,,,,,,,,,,
29100,0.19291924,1.674911,,,,,,,,,,,,,,,,,
29200,0.2028257,1.666918,,,,,,,,,,,,,,,,,
29300,0.18523528,1.6602831,,,,,,,,,,,,,,,,,
29400,0.22483464,1.7194579,,,,,,,,,,,,,,,,,
29500,0.20236726,1.6823184,,,,,,,,,,,,,,,,,
29600,0.22182319,1.6106769,,,,,,,,,,,,,,,,,
29700,0.20442683,1.659735,,,,,,,,,,,,,,,,,
29800,0.212299,1.6958996,,,,,,,,,,,,,,,,,
29900,0.20626418,1.6799791,,,,,,,,,,,,,,,,,
30000,0.24453974,1.6560328,,,,,,,,,,,,,,,,,
